ASF,FG,MN,ED,INV_LOG,ND,STD,Y
1,0,0,0,0.293019408,0,0,1
1,0,1,1,0.293580522,0,1,1
1,0,0.389264799,0.38574641,0.293285862,0,0.23448892,1
1,0,1,1,0.293384036,0,1,1
1,0,0.941419107,1,0.292931968,0,0,1
1,0,0.746123469,0.72407721,0.293449775,0,1,1
1,0,0,0,0.293303402,0,0,1
1,0,1,1,0.293202491,0,0,1
1,0,0.513649487,0.665812205,0.293433395,0,0.706076489,1
1,0,0.820152116,0.932658118,0.293057372,0,0.372785315,1
1,0,0,0.0709964,0.293089006,0,0,1
1,0,0,0,0.293380672,0,0,1
1,0,0,0,0.293448189,0,0,1
1,0,1,1,0.293084102,0,0.501936027,1
1,0,0.523872037,0.537711618,0.293260193,0,0,1
1,0,0,0.066584343,0.292964148,0,0,1
1,0,0.647772866,0.694520916,0.293177746,0,0,1
0,0,0,0,0.293008804,0,0,1
1,0,0.438203528,0.482038514,0.29310246,0,0.386329176,1
1,0,0.447095191,0.485316625,0.293049245,0,0,1
1,0,0.841085349,0.990932589,0.293172142,0,0,1
1,0,1,1,0.293221719,0,0.445713541,1
1,0,0.031674624,0.164682022,0.293102499,0,0,1
1,0,0,0,0.293270395,0,0,1
1,0,0,0,0.293242493,0,0,1
0,1,0,0,0.319611297,1,0,0
1,0,0.469476941,0.589056385,0.296448211,0,1,1
1,0,1,1,0.296347526,0,1,1
0,0,0,0,0.29607635,0,0,1
1,0,0.463457999,0.712515801,0.296265558,0,0,1
1,0,0.873590107,1,0.296365628,0,0.501494349,1
1,0,0,0,0.296232472,0,0,1
1,0,1,1,0.296412735,0,1,1
1,0,0,0,0.296168629,0,0,1
1,0,0,0,0.296339324,0,0,1
1,0,1,1,0.296660882,0,1,1
1,0,0.933719242,0.967673853,0.296394338,0,1,1
1,0,0,0.102837189,0.296295928,0,0,1
1,0,1,1,0.296423962,0,0.769163805,1
1,0,1,1,0.296333703,0,1,1
1,0,1,1,0.296569741,0,1,1
1,0,1,1,0.296526282,0,1,1
1,0,0,0,0.296275616,0,0,1
1,0,0.642200085,0.766534261,0.296603025,0,1,1
1,0,0,0,0.296442675,0,0,1
1,0,0.995991024,1,0.296205841,0,0.480106616,1
1,0,1,1,0.296443584,0,1,1
1,0,0.684494678,0.614384378,0.296217333,0,0.828091469,1
