ASF,FG,MN,ED,INV_LOG,ND,STD,SUM,SUM1,SUM5,SUM10,Diff1,avg5minusMe,avg10minusme,std5ofivlogdivMe,std10ofivlogdivMe,Y
0,1,0,0,0.301709879,0,0,1.301709879,4.544481428,28.3458203,259.1184875,-1.94106167,1.466204611,1.296007676,0.077621927,0.054717626,0
1,0,0.433587206,0.750744088,0.249368154,0.809072101,0,3.242771549,7.818664527,29.6717002,258.9609443,-1.333121429,-0.34152198,-0.588029675,0.000790453,0.00069033,1
1,0,1,1,0.24943669,0.426842567,0.899613721,4.575892978,6.825046417,28.26436826,258.1292439,2.326739539,-1.542802508,-2.010007653,0.000809994,0.000667174,1
1,0,0,0,0.249153439,1,0,2.249153439,4.719198045,26.45695441,258.2361484,-0.220891167,0.370629742,0.31031741,0.000855915,0.00066286,1
1,0,0,0,0.249415039,1,0.220629567,2.470044606,4.43842988,25.4956416,261.9606085,0.501659332,0.201563095,0.108880588,0.000508301,0.000954168,1
1,0,0,0,0.249705412,0.718679862,0,1.968385274,5.870361327,24.17877399,271.3547753,-1.933590779,0.459135345,0.62769944,0.000302783,0.000954732,1
1,0,0.793821643,1,0.249543295,0.827455456,0.031155659,3.901976053,6.411332588,22.53457179,284.4965501,1.392619518,-1.493741874,-1.261355659,0.000323416,0.001010711,1
1,0,0.404409887,0.44142863,0.249607892,0.413910126,0,2.509356535,5.017632572,22.98919348,299.7941446,0.001080498,-0.410676355,-0.012519777,0.000299562,0.001074436,1
1,0,0.059495303,0.199055464,0.24972527,1,0,2.508276037,3.757885232,24.92700602,316.3544671,1.258666842,-0.009117521,0.130933832,0.000300119,0.001149079,1
0,0,0,0,0.249609195,1,0,1.249609195,3.121562269,26.25445749,329.8537816,-0.622343879,1.236633493,1.622022987,0.00124706,0.001124165,1
1,0,0,0,0.249516334,0.62243674,0,1.871953074,4.226159131,28.18827709,337.4183988,-0.482252983,0.892695735,1.370841332,0.001193597,0.001369733,1
1,0,0,0,0.249592714,0.745673259,0.358940084,2.354206057,6.865954273,28.83999973,342.0664127,-2.157542159,0.518800553,0.95388213,0.00122551,0.001442843,1
1,0,1,1,0.249622688,0.262125528,1,4.511748216,6.955445114,28.37127279,346.6866119,2.068051318,-1.616754879,-1.152619804,0.001391302,0.001487158,1
1,0,0.116068435,0.650862854,0.24889531,0.427870299,0,2.443696898,5.085336698,30.18141449,347.2792982,-0.197942902,0.335564324,0.98925357,0.001578667,0.00159232,1
1,0,0.024474661,0.068210083,0.249407034,1,0.299548022,2.6416398,5.055381878,34.88980839,342.1688866,0.227897722,0.615381876,0.786183235,0.001122188,0.001285821,1
1,0,0,0,0.249171928,1,0.16457015,2.413742078,4.877881769,37.32054883,331.2265659,-0.050397613,1.307197924,1.029323193,0.001501701,0.001659694,1
